,LR,LR_ns,CLF
1,0.5714285714285714,0.5714285714285714,0.5714285714285714
2,0.5476190476190477,0.5476190476190477,0.6666666666666666
3,0.7142857142857143,0.7142857142857143,0.6904761904761905
4,0.6428571428571429,0.6190476190476191,0.5952380952380952
5,0.5714285714285714,0.5714285714285714,0.6666666666666666
6,0.6428571428571429,0.6428571428571429,0.5714285714285714
7,0.5952380952380952,0.5952380952380952,0.5476190476190477
8,0.6428571428571429,0.6190476190476191,0.8095238095238095
9,0.6666666666666666,0.6666666666666666,0.6190476190476191
10,0.5476190476190477,0.5476190476190477,0.6666666666666666
11,0.6428571428571429,0.6666666666666666,0.4523809523809524
12,0.5952380952380952,0.5952380952380952,0.5952380952380952
13,0.5714285714285714,0.5714285714285714,0.5476190476190477
14,0.5714285714285714,0.5952380952380952,0.6904761904761905
15,0.5476190476190477,0.5476190476190477,0.6428571428571429
16,0.5476190476190477,0.5476190476190477,0.7142857142857143
17,0.6190476190476191,0.6428571428571429,0.6666666666666666
18,0.7857142857142857,0.7857142857142857,0.6904761904761905
19,0.5714285714285714,0.5476190476190477,0.6190476190476191
